,crypto_name,year,volume,price_usd,price_btc,market_cap
0,Bitcoin,2016,31448370984.0,208068.15000000005,366.0,3268291610821.0
1,Bitcoin,2017,869746420804.0,1462202.2699999989,365.0,24256993242262.0
2,Bitcoin,2018,2213196541089.0,2763889.0900000017,365.0,47182570561642.0
3,Bitcoin,2019,5884878333033.0,2585622.309999999,352.0,46123608311680.0
4,Bitcoin,2020,9179893029758.0,2813465.8700000015,297.0,51712010494292.0
5,Dogecoin,2016,93872911.0,0.086166,0.00016053403788540558,9047304912.0
6,Dogecoin,2017,4084334932.0,0.5841850000000001,0.00016695352436040016,64791176947.0
7,Dogecoin,2018,7928985460.0,1.5879049999999997,0.0002070665631762769,182160591229.0
8,Dogecoin,2019,15715009130.0,0.8990999999999997,0.0001360569046229212,108068049161.0
9,Dogecoin,2020,40807698299.0,0.7717619999999994,8.19799626875817e-05,96391074531.0
10,Ethereum,2016,6579786495.0,3578.7874269999993,6.391917052649787,294022132651.0
11,Ethereum,2017,271295460160.0,81729.07999999999,20.31142451703543,7726843762550.0
12,Ethereum,2018,831057313442.0,176480.33999999982,21.48254071724232,17509719887196.0
13,Ethereum,2019,2440648647388.0,63756.23999999999,9.33177352530302,6807530155138.0
14,Ethereum,2020,4138255146023.0,76690.85999999999,7.846857552408015,8552408663333.0
